Entity,Country,Product,Forecast_Category,Submission date,Committ,Quarter,Forecast_Value,Submission_quarter
FreeISTs,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,20.0,Q1_2024
FreeISTs,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,54.0,Q1_2024
FreeISTs,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,235.0,Q1_2024
FreeISTs,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
France,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,50.0,Q1_2024
France,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
France,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
France,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
Canada,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,30.0,Q1_2024
Canada,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,9.0,Q1_2024
Canada,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,10.0,Q1_2024
Canada,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,5.0,Q1_2024
Spain,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,45.0,Q1_2024
Spain,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
Spain,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
Spain,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
South,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,86.0,Q1_2024
South,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,15.0,Q1_2024
South,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
South,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
RestEUAA,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,5,Q1_2024
RestEUAA,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,0,Q1_2024
RestEUAA,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,0,Q1_2024
RestEUAA,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,5,Q1_2024
United,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,132.0,Q1_2024
United,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,5.0,Q1_2024
United,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,5.0,Q1_2024
United,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
 ProspectivePaid,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,75.0,Q1_2024
 ProspectivePaid,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,22.0,Q1_2024
 ProspectivePaid,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
 ProspectivePaid,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
RetrospectivePaid,Country,G360CDx,Volume,2023-12-09,First submission,Q1 2024,132.0,Q1_2024
RetrospectivePaid,Country,G360 Infinity,Volume,2023-12-09,First submission,Q1 2024,8.0,Q1_2024
RetrospectivePaid,Country,Reveal,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
RetrospectivePaid,Country,Shield,Volume,2023-12-09,First submission,Q1 2024,0.0,Q1_2024
